t (с)	X (м)	Y (м)
0,0	0,00	0,00
0,1	4,24	4,19
0,2	8,49	8,29
0,3	12,73	12,29
0,4	16,97	16,19
0,5	21,21	19,99
0,6	25,46	23,69
0,7	29,70	27,30
0,8	33,94	30,80
0,9	38,18	34,21
1,0	42,43	37,52
1,1	46,67	40,73
1,2	50,91	43,85
1,3	55,15	46,86
1,4	59,40	49,78
1,5	63,64	52,60
1,6	67,88	55,33
1,7	72,12	57,95
1,8	76,37	60,48
1,9	80,61	62,90
2,0	84,85	65,23
2,1	89,10	67,46
2,2	93,34	69,60
2,3	97,58	71,63
2,4	101,82	73,57
2,5	106,07	75,41
2,6	110,31	77,15
2,7	114,55	78,79
2,8	118,79	80,34
2,9	123,04	81,79
3,0	127,28	83,13
3,1	131,52	84,38
3,2	135,76	85,54
3,3	140,01	86,59
3,4	144,25	87,55
3,5	148,49	88,41
3,6	152,74	89,17
3,7	156,98	89,83
3,8	161,22	90,39
3,9	165,46	90,86
4,0	169,71	91,23
4,1	173,95	91,50
4,2	178,19	91,67
4,3	182,43	91,74
4,4	186,68	91,72
4,5	190,92	91,59
4,6	195,16	91,37
4,7	199,40	91,05
4,8	203,65	90,64
4,9	207,89	90,12
5,0	212,13	89,51
5,1	216,37	88,80
5,2	220,62	87,99
5,3	224,86	87,08
5,4	229,10	86,07
5,5	233,35	84,97
5,6	237,59	83,77
5,7	241,83	82,47
5,8	246,07	81,07
5,9	250,32	79,57
6,0	254,56	77,98
6,1	258,80	76,29
6,2	263,04	74,50
6,3	267,29	72,61
6,4	271,53	70,62
6,5	275,77	68,54
6,6	280,01	66,35
6,7	284,26	64,07
6,8	288,50	61,69
6,9	292,74	59,22
7,0	296,98	56,64
7,1	301,23	53,97
7,2	305,47	51,19
7,3	309,71	48,33
7,4	313,96	45,36
7,5	318,20	42,29
7,6	322,44	39,13
7,7	326,68	35,87
7,8	330,93	32,51
7,9	335,17	29,05
8,0	339,41	25,49
8,1	343,65	21,84
8,2	347,90	18,08
8,3	352,14	14,23
8,4	356,38	10,29
8,5	360,62	6,24
8,6	364,87	2,09
